mirbase_id	ensembl_gene_id
hsa-mir-2392	ENSG00000160551
hsa-mir-2392	ENSG00000145012
hsa-mir-2392	ENSG00000089693
hsa-mir-2392	ENSG00000214022
hsa-mir-2392	ENSG00000110092
hsa-mir-2392	ENSG00000137221
hsa-mir-2392	ENSG00000157741
hsa-mir-2392	ENSG00000174099
hsa-mir-2392	ENSG00000168137
hsa-mir-2392	ENSG00000108592
hsa-mir-2392	ENSG00000126267
hsa-mir-2392	ENSG00000120509
hsa-mir-23c	ENSG00000173065
hsa-mir-23c	ENSG00000166822
hsa-mir-23c	ENSG00000130766
hsa-mir-23c	ENSG00000217128
hsa-mir-23c	ENSG00000186265
hsa-mir-2861	ENSG00000023171
hsa-mir-2861	ENSG00000144579
hsa-mir-2861	ENSG00000105221
hsa-mir-2861	ENSG00000203485
hsa-mir-2909	ENSG00000177105
hsa-mir-297	ENSG00000160961
hsa-mir-297	ENSG00000140025
hsa-mir-297	ENSG00000139364
hsa-mir-297	ENSG00000134198
hsa-mir-297	ENSG00000102781
hsa-mir-297	ENSG00000102780
hsa-mir-297	ENSG00000090612
hsa-mir-297	ENSG00000163285
hsa-mir-297	ENSG00000117020
hsa-mir-297	ENSG00000171621
hsa-mir-297	ENSG00000112164
hsa-mir-297	ENSG00000137801
hsa-mir-297	ENSG00000124795
hsa-mir-297	ENSG00000089050
hsa-mir-297	ENSG00000198682
hsa-mir-297	ENSG00000069188
hsa-mir-298	ENSG00000205189
hsa-mir-298	ENSG00000169570
hsa-mir-298	ENSG00000125967
hsa-mir-298	ENSG00000141622
hsa-mir-298	ENSG00000139767
hsa-mir-298	ENSG00000115295
hsa-mir-298	ENSG00000143756
hsa-mir-298	ENSG00000204619
hsa-mir-298	ENSG00000180370
hsa-mir-298	ENSG00000108774
hsa-mir-298	ENSG00000157540
hsa-mir-298	ENSG00000009307
hsa-mir-300	ENSG00000162924
hsa-mir-300	ENSG00000196233
hsa-mir-300	ENSG00000069667
hsa-mir-300	ENSG00000146776
hsa-mir-300	ENSG00000198740
hsa-mir-300	ENSG00000130821
hsa-mir-302e	ENSG00000156011
hsa-mir-302e	ENSG00000163328
hsa-mir-302e	ENSG00000145332
hsa-mir-302e	ENSG00000131944
hsa-mir-302e	ENSG00000172113
hsa-mir-302e	ENSG00000156671
hsa-mir-302e	ENSG00000185753
hsa-mir-302e	ENSG00000168792
hsa-mir-302e	ENSG00000104064
hsa-mir-302e	ENSG00000126070
hsa-mir-302e	ENSG00000091831
hsa-mir-302e	ENSG00000050393
hsa-mir-302e	ENSG00000183762
hsa-mir-302f	ENSG00000103342
hsa-mir-3122	ENSG00000101236
hsa-mir-3122	ENSG00000110696
hsa-mir-3122	ENSG00000240682
hsa-mir-3122	ENSG00000114126
hsa-mir-3122	ENSG00000092445
hsa-mir-3122	ENSG00000090376
hsa-mir-3122	ENSG00000113719
hsa-mir-3122	ENSG00000162520
hsa-mir-3125	ENSG00000157106
hsa-mir-3125	ENSG00000140443
hsa-mir-3125	ENSG00000119283
hsa-mir-3125	ENSG00000100311
hsa-mir-3125	ENSG00000134717
hsa-mir-3125	ENSG00000124440
hsa-mir-3125	ENSG00000213064
hsa-mir-3125	ENSG00000177189
hsa-mir-3125	ENSG00000166503
hsa-mir-3125	ENSG00000110987
hsa-mir-3125	ENSG00000103005
hsa-mir-3125	ENSG00000204590
hsa-mir-3125	ENSG00000118971
hsa-mir-3125	ENSG00000080824
hsa-mir-3125	ENSG00000146963
hsa-mir-3128	ENSG00000174010
hsa-mir-3128	ENSG00000129315
hsa-mir-3132	ENSG00000151502
hsa-mir-3132	ENSG00000079332
hsa-mir-3132	ENSG00000131495
hsa-mir-3132	ENSG00000204590
hsa-mir-3132	ENSG00000159388
hsa-mir-3132	ENSG00000167900
hsa-mir-3135a	ENSG00000165118
hsa-mir-3135a	ENSG00000165434
hsa-mir-3135b	ENSG00000126767
hsa-mir-3135b	ENSG00000102910
hsa-mir-3135b	ENSG00000154096
hsa-mir-3135b	ENSG00000119820
hsa-mir-3135b	ENSG00000135637
hsa-mir-3135b	ENSG00000140807
