mirnaid	ensembl_gene_id
hsa-let-7f-5p	ENSG00000149948
hsa-let-7f-5p	ENSG00000134046
hsa-let-7f-5p	ENSG00000161202
hsa-let-7f-5p	ENSG00000159217
hsa-let-7f-5p	ENSG00000168495
hsa-let-7f-5p	ENSG00000177076
hsa-let-7f-5p	ENSG00000171848
hsa-let-7f-5p	ENSG00000206557
hsa-let-7f-5p	ENSG00000102531
hsa-let-7f-5p	ENSG00000094916
hsa-let-7f-5p	ENSG00000082153
hsa-let-7g-5p	ENSG00000180667
hsa-let-7g-5p	ENSG00000148200
hsa-let-7g-5p	ENSG00000131242
hsa-let-7g-5p	ENSG00000158615
hsa-let-7g-5p	ENSG00000153944
hsa-let-7g-5p	ENSG00000176994
hsa-let-7g-5p	ENSG00000122482
hsa-let-7g-5p	ENSG00000100320
hsa-let-7g-5p	ENSG00000136379
hsa-let-7g-5p	ENSG00000174799
hsa-let-7g-5p	ENSG00000169194
hsa-let-7g-5p	ENSG00000059728
hsa-let-7g-5p	ENSG00000069702
hsa-let-7g-5p	ENSG00000161202
hsa-let-7g-5p	ENSG00000119547
hsa-let-7g-5p	ENSG00000175387
hsa-let-7g-5p	ENSG00000153201
hsa-let-7g-5p	ENSG00000159217
hsa-let-7g-5p	ENSG00000177076
hsa-let-7g-5p	ENSG00000242265
hsa-let-7g-5p	ENSG00000222036
hsa-let-7i-5p	ENSG00000160392
hsa-let-7i-5p	ENSG00000180667
hsa-let-7i-5p	ENSG00000198625
hsa-let-7i-5p	ENSG00000148200
hsa-let-7i-5p	ENSG00000148248
hsa-let-7i-5p	ENSG00000072501
hsa-let-7i-5p	ENSG00000170242
hsa-let-7i-5p	ENSG00000133193
hsa-let-7i-5p	ENSG00000140443
hsa-let-7i-5p	ENSG00000179361
hsa-let-7i-5p	ENSG00000092847
hsa-let-7i-5p	ENSG00000136490
hsa-let-7i-5p	ENSG00000122482
hsa-let-7i-5p	ENSG00000158615
hsa-let-7i-5p	ENSG00000186017
hsa-let-7i-5p	ENSG00000082258
hsa-let-7i-5p	ENSG00000153944
hsa-let-7i-5p	ENSG00000176994
hsa-let-7i-5p	ENSG00000164284
hsa-let-7i-5p	ENSG00000256463
hsa-let-7i-5p	ENSG00000185818
hsa-let-7i-5p	ENSG00000168758
hsa-let-7i-5p	ENSG00000100320
hsa-let-7i-5p	ENSG00000196428
hsa-let-7i-5p	ENSG00000168795
hsa-let-7i-5p	ENSG00000004399
hsa-let-7i-5p	ENSG00000086712
hsa-let-7i-5p	ENSG00000172840
hsa-let-7i-5p	ENSG00000103742
hsa-let-7i-5p	ENSG00000121671
hsa-let-7i-5p	ENSG00000197562
hsa-let-7i-5p	ENSG00000006831
hsa-let-7i-5p	ENSG00000174799
hsa-let-7i-5p	ENSG00000126003
hsa-let-7i-5p	ENSG00000069702
hsa-let-7i-5p	ENSG00000149948
hsa-let-7i-5p	ENSG00000134046
hsa-let-7i-5p	ENSG00000144231
hsa-let-7i-5p	ENSG00000136231
hsa-let-7i-5p	ENSG00000094916
hsa-let-7i-5p	ENSG00000174840
hsa-let-7i-5p	ENSG00000177076
hsa-let-7i-5p	ENSG00000171848
hsa-let-7i-5p	ENSG00000206557
hsa-let-7i-5p	ENSG00000163104
hsa-let-7i-5p	ENSG00000059728
hsa-miR-100-5p	ENSG00000153147
hsa-miR-103a-3p	ENSG00000116604
hsa-miR-103a-3p	ENSG00000092847
hsa-miR-103a-3p	ENSG00000166579
hsa-miR-103a-3p	ENSG00000146676
hsa-miR-103a-3p	ENSG00000164134
hsa-miR-103a-3p	ENSG00000173275
hsa-miR-103a-3p	ENSG00000100330
hsa-miR-103a-3p	ENSG00000093000
hsa-miR-103a-3p	ENSG00000079102
hsa-miR-103a-3p	ENSG00000145675
hsa-miR-103a-3p	ENSG00000148842
hsa-miR-103a-3p	ENSG00000105778
hsa-miR-103a-3p	ENSG00000169635
hsa-miR-103a-3p	ENSG00000107679
hsa-miR-103a-3p	ENSG00000198265
hsa-miR-103a-3p	ENSG00000107864
hsa-miR-103a-3p	ENSG00000100354
hsa-miR-103a-3p	ENSG00000100242
hsa-miR-103a-3p	ENSG00000100418
hsa-miR-103a-3p	ENSG00000135932
hsa-miR-103a-3p	ENSG00000107341
hsa-miR-103a-3p	ENSG00000205189
hsa-miR-103a-3p	ENSG00000158711
hsa-miR-103a-3p	ENSG00000138685
hsa-miR-103a-3p	ENSG00000168092
hsa-miR-103a-3p	ENSG00000004799
hsa-miR-103a-3p	ENSG00000103449
hsa-miR-103a-3p	ENSG00000127334
hsa-miR-103a-3p	ENSG00000131370
hsa-miR-103a-3p	ENSG00000155980
hsa-miR-103a-3p	ENSG00000143322
hsa-miR-103a-3p	ENSG00000198898
hsa-miR-103a-3p	ENSG00000165156
hsa-miR-103a-3p	ENSG00000198586
hsa-miR-103a-3p	ENSG00000138757
hsa-miR-103a-3p	ENSG00000125447
hsa-miR-103a-3p	ENSG00000182831
hsa-miR-103a-3p	ENSG00000173267
hsa-miR-103a-3p	ENSG00000196233
hsa-miR-103a-3p	ENSG00000113448
hsa-miR-103a-3p	ENSG00000038427
hsa-miR-103a-3p	ENSG00000173744
hsa-miR-103a-3p	ENSG00000143862
hsa-miR-106a-5p	ENSG00000165322
hsa-miR-106a-5p	ENSG00000149212
hsa-miR-106a-5p	ENSG00000168385
hsa-miR-106a-5p	ENSG00000135720
hsa-miR-106a-5p	ENSG00000135709
hsa-miR-106a-5p	ENSG00000184743
hsa-miR-106a-5p	ENSG00000112796
hsa-miR-106a-5p	ENSG00000158636
hsa-miR-106a-5p	ENSG00000029993
hsa-miR-106a-5p	ENSG00000092847
hsa-miR-106a-5p	ENSG00000020633
hsa-miR-106a-5p	ENSG00000140299
hsa-miR-106a-5p	ENSG00000107854
hsa-miR-106a-5p	ENSG00000054267
hsa-miR-106a-5p	ENSG00000102781
hsa-miR-106a-5p	ENSG00000164938
hsa-miR-106a-5p	ENSG00000149289
hsa-miR-106a-5p	ENSG00000154122
hsa-miR-106a-5p	ENSG00000124762
hsa-miR-106a-5p	ENSG00000057019
hsa-miR-106a-5p	ENSG00000069667
hsa-miR-106a-5p	ENSG00000100330
hsa-miR-106a-5p	ENSG00000175161
hsa-miR-106a-5p	ENSG00000174151
hsa-miR-106a-5p	ENSG00000133059
hsa-miR-106a-5p	ENSG00000142192
hsa-miR-106a-5p	ENSG00000161642
hsa-miR-106a-5p	ENSG00000084764
hsa-miR-106a-5p	ENSG00000158445
hsa-miR-106a-5p	ENSG00000157077
hsa-miR-106a-5p	ENSG00000225190
hsa-miR-106a-5p	ENSG00000198740
hsa-miR-106a-5p	ENSG00000072121
hsa-miR-106a-5p	ENSG00000131263
hsa-miR-106a-5p	ENSG00000175352
hsa-miR-106a-5p	ENSG00000108256
hsa-miR-106a-5p	ENSG00000196632
hsa-miR-106a-5p	ENSG00000124201
hsa-miR-106a-5p	ENSG00000129521
hsa-miR-106a-5p	ENSG00000182504
hsa-miR-106a-5p	ENSG00000149308
hsa-miR-106a-5p	ENSG00000111540
hsa-miR-106a-5p	ENSG00000124766
hsa-miR-106a-5p	ENSG00000158050
hsa-miR-106a-5p	ENSG00000197217
hsa-miR-106a-5p	ENSG00000169057
hsa-miR-106a-5p	ENSG00000188786
hsa-miR-106a-5p	ENSG00000052802
hsa-miR-106a-5p	ENSG00000007944
hsa-miR-106a-5p	ENSG00000081087
hsa-miR-106a-5p	ENSG00000124788
hsa-miR-106a-5p	ENSG00000174136
hsa-miR-106a-5p	ENSG00000169967
hsa-miR-106a-5p	ENSG00000101966
hsa-miR-106a-5p	ENSG00000204524
hsa-miR-106a-5p	ENSG00000100354
hsa-miR-106a-5p	ENSG00000166483
hsa-miR-106a-5p	ENSG00000164236
hsa-miR-106a-5p	ENSG00000185716
hsa-miR-106a-5p	ENSG00000115963
hsa-miR-106b-5p	ENSG00000185722
hsa-miR-106b-5p	ENSG00000124120
hsa-miR-106b-5p	ENSG00000149212
hsa-miR-106b-5p	ENSG00000137266
hsa-miR-106b-5p	ENSG00000112715
hsa-miR-106b-5p	ENSG00000011114
hsa-miR-106b-5p	ENSG00000177463
hsa-miR-106b-5p	ENSG00000029993
hsa-miR-106b-5p	ENSG00000087245
hsa-miR-106b-5p	ENSG00000146826
hsa-miR-106b-5p	ENSG00000170456
hsa-miR-106b-5p	ENSG00000162441
hsa-miR-106b-5p	ENSG00000068366
hsa-miR-106b-5p	ENSG00000074657
hsa-miR-106b-5p	ENSG00000108654
hsa-miR-106b-5p	ENSG00000182481
hsa-miR-106b-5p	ENSG00000123684
hsa-miR-106b-5p	ENSG00000156531
hsa-miR-106b-5p	ENSG00000170832
hsa-miR-106b-5p	ENSG00000135108
hsa-miR-106b-5p	ENSG00000185658
hsa-miR-106b-5p	ENSG00000110092
hsa-miR-106b-5p	ENSG00000057019
hsa-miR-106b-5p	ENSG00000119950
hsa-miR-106b-5p	ENSG00000162695
hsa-miR-106b-5p	ENSG00000153094
hsa-miR-106b-5p	ENSG00000167981
hsa-miR-106b-5p	ENSG00000166068
hsa-miR-106b-5p	ENSG00000165434
hsa-miR-106b-5p	ENSG00000155744
hsa-miR-106b-5p	ENSG00000179021
hsa-miR-106b-5p	ENSG00000161791
hsa-miR-106b-5p	ENSG00000253276
hsa-miR-106b-5p	ENSG00000173960
hsa-miR-106b-5p	ENSG00000133059
hsa-miR-106b-5p	ENSG00000167106
hsa-miR-106b-5p	ENSG00000109458
hsa-miR-106b-5p	ENSG00000141034
hsa-miR-106b-5p	ENSG00000151835
hsa-miR-106b-5p	ENSG00000158445
hsa-miR-106b-5p	ENSG00000173011
hsa-miR-106b-5p	ENSG00000103479
hsa-miR-106b-5p	ENSG00000126775
hsa-miR-106b-5p	ENSG00000122966
hsa-miR-106b-5p	ENSG00000163513
hsa-miR-106b-5p	ENSG00000106351
hsa-miR-106b-5p	ENSG00000072121
hsa-miR-106b-5p	ENSG00000196632
hsa-miR-106b-5p	ENSG00000144711
hsa-miR-106b-5p	ENSG00000135709
hsa-miR-106b-5p	ENSG00000115977
hsa-miR-106b-5p	ENSG00000023516
hsa-miR-106b-5p	ENSG00000180667
hsa-miR-106b-5p	ENSG00000163577
hsa-miR-106b-5p	ENSG00000108256
hsa-miR-106b-5p	ENSG00000100503
hsa-miR-106b-5p	ENSG00000124201
hsa-miR-106b-5p	ENSG00000025039
hsa-miR-106b-5p	ENSG00000112796
hsa-miR-106b-5p	ENSG00000116132
hsa-miR-106b-5p	ENSG00000173281
hsa-miR-106b-5p	ENSG00000133740
hsa-miR-106b-5p	ENSG00000143772
hsa-miR-106b-5p	ENSG00000100030
hsa-miR-106b-5p	ENSG00000088179
hsa-miR-106b-5p	ENSG00000111540
hsa-miR-106b-5p	ENSG00000124766
hsa-miR-106b-5p	ENSG00000166483
hsa-miR-106b-5p	ENSG00000114166
hsa-miR-106b-5p	ENSG00000020633
hsa-miR-106b-5p	ENSG00000100784
hsa-miR-106b-5p	ENSG00000122958
hsa-miR-106b-5p	ENSG00000169057
hsa-miR-106b-5p	ENSG00000176105
hsa-miR-106b-5p	ENSG00000185129
hsa-miR-106b-5p	ENSG00000188786
hsa-miR-106b-5p	ENSG00000135720
hsa-miR-106b-5p	ENSG00000124151
hsa-miR-106b-5p	ENSG00000069966
hsa-miR-106b-5p	ENSG00000186130
hsa-miR-106b-5p	ENSG00000092847
hsa-miR-106b-5p	ENSG00000198791
hsa-miR-106b-5p	ENSG00000081087
hsa-miR-106b-5p	ENSG00000107897
hsa-miR-106b-5p	ENSG00000124788
hsa-miR-106b-5p	ENSG00000169967
hsa-miR-106b-5p	ENSG00000204524
hsa-miR-106b-5p	ENSG00000185127
hsa-miR-106b-5p	ENSG00000257093
hsa-miR-106b-5p	ENSG00000119414
hsa-miR-106b-5p	ENSG00000164938
hsa-miR-106b-5p	ENSG00000164236
hsa-miR-106b-5p	ENSG00000185716
hsa-miR-106b-5p	ENSG00000117155
hsa-miR-106b-5p	ENSG00000120756
hsa-miR-106b-5p	ENSG00000147862
hsa-miR-106b-5p	ENSG00000198815
hsa-miR-106b-5p	ENSG00000204217
hsa-miR-106b-5p	ENSG00000101966
hsa-miR-106b-5p	ENSG00000054267
hsa-miR-107	ENSG00000105810
hsa-miR-107	ENSG00000132964
hsa-miR-107	ENSG00000134852
hsa-miR-107	ENSG00000151292
hsa-miR-107	ENSG00000100697
hsa-miR-107	ENSG00000076108
hsa-miR-107	ENSG00000092847
hsa-miR-107	ENSG00000146676
hsa-miR-107	ENSG00000093000
hsa-miR-107	ENSG00000079102
hsa-miR-107	ENSG00000145675
hsa-miR-107	ENSG00000147162
hsa-miR-107	ENSG00000186265
hsa-miR-107	ENSG00000148842
hsa-miR-107	ENSG00000138757
hsa-miR-107	ENSG00000128595
hsa-miR-107	ENSG00000107864
hsa-miR-107	ENSG00000135932
hsa-miR-107	ENSG00000109171
hsa-miR-107	ENSG00000133657
hsa-miR-107	ENSG00000158711
hsa-miR-107	ENSG00000138685
hsa-miR-107	ENSG00000103449
hsa-miR-107	ENSG00000127334
hsa-miR-107	ENSG00000038427
hsa-miR-107	ENSG00000143322
hsa-miR-107	ENSG00000182831
hsa-miR-107	ENSG00000173267
hsa-miR-107	ENSG00000196233
hsa-miR-107	ENSG00000083896
hsa-miR-107	ENSG00000119414
hsa-miR-107	ENSG00000224470
hsa-miR-10a-5p	ENSG00000141425
hsa-miR-10a-5p	ENSG00000069667
hsa-miR-10a-5p	ENSG00000114127
hsa-miR-10a-5p	ENSG00000125249
hsa-miR-10a-5p	ENSG00000156299
hsa-miR-10a-5p	ENSG00000196498
hsa-miR-10a-5p	ENSG00000121274
hsa-miR-10a-5p	ENSG00000184009
hsa-miR-10b-5p	ENSG00000159140
hsa-miR-10b-5p	ENSG00000177463
hsa-miR-10b-5p	ENSG00000118260
hsa-miR-10b-5p	ENSG00000119508
hsa-miR-10b-5p	ENSG00000176390
hsa-miR-10b-5p	ENSG00000015171
hsa-miR-1224-5p	ENSG00000174010
hsa-miR-1224-5p	ENSG00000108819
hsa-miR-125a-5p	ENSG00000111481
hsa-miR-125a-5p	ENSG00000104447
hsa-miR-125a-5p	ENSG00000161642
hsa-miR-125a-5p	ENSG00000133422
hsa-miR-125a-5p	ENSG00000164938
hsa-miR-125a-5p	ENSG00000168610
hsa-miR-125a-5p	ENSG00000175104
hsa-miR-125a-5p	ENSG00000117859
hsa-miR-125a-5p	ENSG00000065882
hsa-miR-125a-5p	ENSG00000169926
hsa-miR-125a-5p	ENSG00000188706
