mirnaid	genesymbol
hsa-miR-1294	ZBTB34
hsa-miR-1294	NAV1
hsa-miR-1294	CLDN12
hsa-miR-1294	CLDN12
hsa-miR-1297	ZBTB24
hsa-miR-1299	PURB
hsa-miR-1299	YOD1
hsa-miR-1299	FSD2
hsa-miR-1299	GNAS
hsa-miR-1299	ZNF326
hsa-miR-1299	ZNF326
hsa-miR-1299	YOD1
hsa-miR-1299	METTL8
hsa-miR-1299	METTL8
hsa-miR-1299	METTL8
hsa-miR-1299	RBMS3
hsa-miR-1299	RBMS3
hsa-miR-1299	RBMS3
hsa-miR-1299	GNAS
hsa-miR-1299	GNAS
hsa-miR-1303	PIAS2
hsa-miR-1303	FAM177A1
hsa-miR-1303	FAM177A1
hsa-miR-1303	NXPE3
hsa-miR-1303	ZNF276
hsa-miR-1303	ZNF276
hsa-miR-1303	FAM177A1
hsa-miR-1303	FAM177A1
hsa-miR-1303	SPTY2D1
hsa-miR-1303	COMMD2
hsa-miR-1303	CLDN18
hsa-miR-1303	CLDN18
hsa-miR-1303	NUP133
hsa-miR-1303	MAVS
hsa-miR-1303	MAVS
hsa-miR-1303	MAVS
hsa-miR-1303	PIAS2
hsa-miR-1303	BUB3
hsa-miR-1303	BUB3
hsa-miR-1303	CHRNB1
hsa-miR-1303	CLDN18
hsa-miR-1303	CLDN18
hsa-miR-1303	FAM177A1
hsa-miR-1303	FAM177A1
hsa-miR-1303	GXYLT2
hsa-miR-1303	ZNF276
hsa-miR-1303	ZNF276
hsa-miR-1303	NXPE3
hsa-miR-1303	MAVS
hsa-miR-1305	DGKH
hsa-miR-1305	DGKH
hsa-miR-1305	TMTC1
hsa-miR-1305	TMTC1
hsa-miR-1305	DGKH
hsa-miR-1321	KRT80
hsa-miR-1321	KRT80
hsa-miR-1321	PLAGL2
hsa-miR-1321	KRT80
hsa-miR-1321	PAX5
hsa-miR-1321	HPCAL1
hsa-miR-1321	HPCAL1
hsa-miR-1321	HPCAL1
hsa-miR-1321	MEF2D
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	PAX5
hsa-miR-1321	CCND3
hsa-miR-1321	BCL2L1
hsa-miR-1321	BCL2L1
hsa-miR-1321	BCL2L1
hsa-miR-1321	AK2
hsa-miR-1321	SPRY4
hsa-miR-1321	PITPNM3
hsa-miR-1321	PLXNA1
hsa-miR-1321	RTKN
hsa-miR-1321	ELFN2
hsa-miR-1321	HPCAL1
hsa-miR-1321	NAV2
hsa-miR-1321	NAV2
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	UBE2D3
hsa-miR-1321	KRT80
hsa-miR-1321	NAV2
hsa-miR-1321	NAV2
hsa-miR-1321	KRT80
hsa-miR-1321	KRT80
hsa-miR-1321	MEF2D
hsa-miR-1321	CLASP1
hsa-miR-1321	NAV2
hsa-miR-1321	NAV2
hsa-miR-1321	BCL2L1
hsa-miR-1321	UBE2D3
hsa-miR-1321	BCL2L1
hsa-miR-1321	RPH3A
hsa-miR-1321	TNRC6B
hsa-miR-1321	CLASP1
hsa-miR-1321	CLASP1
hsa-miR-1321	GPR107
hsa-miR-1321	NIBAN2
hsa-miR-1321	MYH14
hsa-miR-1321	HPCAL1
hsa-miR-1321	TBC1D25
hsa-miR-1321	PLAGL2
hsa-miR-1321	SRF
hsa-miR-1321	UBE2D3
hsa-miR-1321	CBX2
hsa-miR-1321	CTDSP2
hsa-miR-1321	MEF2D
hsa-miR-1321	ELL
hsa-miR-1321	ZFHX3
hsa-miR-1321	BCL2L1
hsa-miR-1321	BCL2L1
hsa-miR-1321	RPH3A
hsa-miR-1321	RPH3A
hsa-miR-1321	RNMT
hsa-miR-1321	RNMT
hsa-miR-1321	ZFHX3
hsa-miR-1321	IGFBP4
hsa-miR-1321	IGFBP4
hsa-miR-1321	AK2
hsa-miR-1321	CCND3
hsa-miR-1321	SLC6A17
hsa-miR-1321	SLC6A17
hsa-miR-1321	RTKN
hsa-miR-1321	RTKN
hsa-miR-1321	RTKN
hsa-miR-1321	TNRC6B
hsa-miR-1321	NIBAN2
hsa-miR-1321	SLC2A4
hsa-miR-1321	MYH14
hsa-miR-1321	KRT80
hsa-miR-1321	NAV2
hsa-miR-1321	NAV2
hsa-miR-1321	SPRY4
hsa-miR-1321	CCND3
hsa-miR-1321	CCND3
hsa-miR-1321	GPR107
hsa-miR-1321	CLASP1
hsa-miR-1321	CLASP1
hsa-miR-1321	RPH3A
hsa-miR-1321	MYH14
hsa-miR-1321	TNRC6B
