mirna_id	value
hsa-miR-93-5p	ENSG00000168300
hsa-miR-92b-3p	ENSG00000168300
hsa-miR-93-5p	ENSG00000011114
hsa-miR-93-5p	ENSG00000184743
hsa-miR-93-5p	ENSG00000174669
hsa-miR-93-5p	ENSG00000204116
hsa-miR-93-5p	ENSG00000158636
hsa-miR-7-5p	ENSG00000117461
hsa-miR-7-5p	ENSG00000159579
hsa-miR-93-5p	ENSG00000196628
hsa-miR-93-5p	ENSG00000179454
hsa-miR-93-5p	ENSG00000173889
hsa-miR-92b-3p	ENSG00000113742
hsa-miR-93-5p	ENSG00000161800
hsa-miR-93-5p	ENSG00000162434
hsa-miR-93-5p	ENSG00000174010
hsa-miR-93-5p	ENSG00000100523
hsa-miR-93-5p	ENSG00000054267
hsa-miR-93-5p	ENSG00000119661
hsa-miR-92b-3p	ENSG00000176410
hsa-miR-92b-3p	ENSG00000176953
hsa-miR-93-5p	ENSG00000120539
